epoch,categorical_accuracy,loss,lr,val_1-shot_1-way_acc,val_loss
1,0.35733333333333334,26.79262493719778,0.001,1.0,0.0
2,0.35466666666666663,2.0708128503412033,0.001,1.0,0.0
3,0.35466666666666685,1.3034666269294846,0.001,1.0,0.0
4,0.38799999999999996,1.2881029441900262,0.001,1.0,0.0
5,0.35200000000000004,1.1656472734950525,0.001,1.0,0.0
6,0.37733333333333335,1.122449731844716,0.001,1.0,0.0
7,0.38133333333333325,1.1139994183975959,0.001,1.0,0.0
8,0.36400000000000005,1.096125737560818,0.001,1.0,0.0
9,0.3453333333333333,1.1151237611286353,0.001,1.0,0.0
10,0.3653333333333333,1.0994157994517124,0.001,1.0,0.0
11,0.3653333333333333,1.0975728791101245,0.001,1.0,0.0
12,0.36933333333333335,1.097647918193473,0.001,1.0,0.0
13,0.34933333333333344,1.1024585725876042,0.001,1.0,0.0
14,0.4053333333333334,1.0877753779579786,0.001,1.0,0.0
15,0.3839999999999999,1.083999226343227,0.001,1.0,0.0
16,0.39733333333333326,1.093111976214375,0.001,1.0,0.0
17,0.3613333333333333,1.093657395007596,0.001,1.0,0.0
18,0.3426666666666667,1.1093577420429204,0.001,1.0,0.0
19,0.3666666666666667,1.089953797180053,0.001,1.0,0.0
20,0.3546666666666667,1.096971583026893,0.001,1.0,0.0
21,0.3853333333333332,1.0838179672289598,0.001,1.0,0.0
22,0.3826666666666668,1.0989265930013619,0.001,1.0,0.0
23,0.38533333333333347,1.0841856543817423,0.001,1.0,0.0
24,0.3826666666666666,1.0968174815158145,0.001,1.0,0.0
25,0.4053333333333333,1.0765800723806744,0.001,1.0,0.0
26,0.38533333333333325,1.081612408664154,0.001,1.0,0.0
27,0.384,1.0833280142783128,0.001,1.0,0.0
28,0.3693333333333333,1.093283159400267,0.001,1.0,0.0
29,0.34533333333333355,1.1028296808692573,0.001,1.0,0.0
30,0.40000000000000013,1.0748739602082034,0.001,1.0,0.0
31,0.37466666666666654,1.0895673659189002,0.001,1.0,0.0
32,0.36266666666666675,1.0955325575158177,0.001,1.0,0.0
33,0.3973333333333333,1.0783864055517318,0.001,1.0,0.0
34,0.37733333333333346,1.0945831766136513,0.001,1.0,0.0
35,0.39733333333333326,1.0854261950693265,0.001,1.0,0.0
36,0.4186666666666666,1.0782288545134093,0.001,1.0,0.0
37,0.3733333333333333,1.086687869120294,0.001,1.0,0.0
38,0.3986666666666666,1.0845651496608373,0.001,1.0,0.0
39,0.37733333333333335,1.091220904655312,0.001,1.0,0.0
40,0.37466666666666654,1.0808038416408485,0.0005,1.0,0.0
41,0.4066666666666665,1.0684375894859386,0.0005,1.0,0.0
42,0.3760000000000001,1.093193077646398,0.0005,1.0,0.0
43,0.3986666666666665,1.0775084386257756,0.0005,1.0,0.0
44,0.40533333333333327,1.0757510578619716,0.0005,1.0,0.0
45,0.36533333333333345,1.093895872391632,0.0005,1.0,0.0
46,0.39866666666666684,1.0694443825120281,0.0005,1.0,0.0
47,0.38933333333333336,1.0795567033305935,0.0005,1.0,0.0
48,0.4133333333333333,1.066531905067941,0.0005,1.0,0.0
49,0.42,1.0717851813819885,0.0005,1.0,0.0
50,0.40533333333333327,1.0701040524616563,0.0005,1.0,0.0
51,0.4333333333333333,1.0552251367824486,0.0005,1.0,0.0
52,0.40266666666666656,1.0649885310641725,0.0005,1.0,0.0
53,0.40933333333333316,1.0732545397238298,0.0005,1.0,0.0
54,0.424,1.0590528093201803,0.0005,1.0,0.0
55,0.39866666666666667,1.0701299332288745,0.0005,1.0,0.0
56,0.4119999999999998,1.0775769636067292,0.0005,1.0,0.0
57,0.37999999999999995,1.081732418700642,0.0005,1.0,0.0
58,0.4133333333333333,1.0654786745769274,0.0005,1.0,0.0
59,0.3919999999999997,1.0690950628078144,0.0005,1.0,0.0
60,0.43066666666666664,1.0690448783664084,0.0005,1.0,0.0
61,0.4373333333333333,1.0517430225796274,0.0005,1.0,0.0
62,0.38666666666666666,1.0828097711867308,0.0005,1.0,0.0
63,0.4373333333333332,1.044822273111091,0.0005,1.0,0.0
64,0.364,1.0896784533806254,0.0005,1.0,0.0
65,0.44666666666666655,1.0404838518550505,0.0005,1.0,0.0
66,0.43066666666666686,1.0571272667426108,0.0005,1.0,0.0
67,0.4013333333333331,1.0744712648266508,0.0005,1.0,0.0
68,0.42266666666666675,1.052014985034562,0.0005,1.0,0.0
69,0.40533333333333327,1.07407721426483,0.0005,1.0,0.0
70,0.42533333333333323,1.0559669967271836,0.0005,1.0,0.0
71,0.4266666666666668,1.0459222897055056,0.0005,1.0,0.0
72,0.43199999999999983,1.0478729143148768,0.0005,1.0,0.0
73,0.42666666666666664,1.053068543821564,0.0005,1.0,0.0
74,0.47333333333333316,1.0387863843999035,0.0005,1.0,0.0
75,0.4186666666666666,1.0659651008845632,0.0005,1.0,0.0
76,0.46400000000000013,1.0219229154502734,0.0005,1.0,0.0
77,0.4786666666666663,1.012371862595937,0.0005,1.0,0.0
78,0.42533333333333323,1.052164072995332,0.0005,1.0,0.0
79,0.4053333333333333,1.0627244451521114,0.0005,1.0,0.0
80,0.43866666666666654,1.0487828408706072,0.00025,1.0,0.0
81,0.47466666666666674,1.0278258118332142,0.00025,1.0,0.0
82,0.47066666666666657,1.0247280131230345,0.00025,1.0,0.0
83,0.3906666666666667,1.0792959508989861,0.00025,1.0,0.0
84,0.45599999999999996,1.0216289883398442,0.00025,1.0,0.0
85,0.4506666666666665,1.0412659089231042,0.00025,1.0,0.0
86,0.48266666666666674,1.0058692155331608,0.00025,1.0,0.0
87,0.44799999999999984,1.0414862252303316,0.00025,1.0,0.0
88,0.4200000000000001,1.03371697130152,0.00025,1.0,0.0
89,0.46399999999999997,1.0366298132699816,0.00025,1.0,0.0
90,0.47066666666666657,1.0333692278303552,0.00025,1.0,0.0
91,0.4373333333333332,1.029315571068829,0.00025,1.0,0.0
92,0.46799999999999997,1.0244552906457576,0.00025,1.0,0.0
93,0.45733333333333326,1.0335949872278285,0.00025,1.0,0.0
94,0.45066666666666677,1.031640943529462,0.00025,1.0,0.0
95,0.5253333333333332,0.9804847718760773,0.00025,1.0,0.0
96,0.4533333333333336,1.0403643268874527,0.00025,1.0,0.0
97,0.4679999999999999,1.0252351490258862,0.00025,1.0,0.0
98,0.4693333333333333,1.0096528425249296,0.00025,1.0,0.0
99,0.5066666666666666,1.0083126005172005,0.00025,1.0,0.0
100,0.4906666666666664,0.9926678996104589,0.00025,1.0,0.0
101,0.4519999999999998,1.0349665815552878,0.00025,1.0,0.0
102,0.45866666666666667,1.038063563939644,0.00025,1.0,0.0
103,0.4853333333333332,1.0025022933449452,0.00025,1.0,0.0
104,0.512,0.9804490100975113,0.00025,1.0,0.0
105,0.44799999999999984,1.0241870562551172,0.00025,1.0,0.0
106,0.4893333333333332,1.0034537522685245,0.00025,1.0,0.0
107,0.4933333333333335,1.0158000067955668,0.00025,1.0,0.0
108,0.44799999999999995,1.0370676591732686,0.00025,1.0,0.0
109,0.5160000000000002,0.9837111164278136,0.00025,1.0,0.0
110,0.4613333333333333,1.0202790263004007,0.00025,1.0,0.0
111,0.4706666666666665,1.01322136776921,0.00025,1.0,0.0
112,0.5026666666666667,0.991176809584365,0.00025,1.0,0.0
113,0.4946666666666669,0.986660999017859,0.00025,1.0,0.0
114,0.49200000000000005,0.96967670634935,0.00025,1.0,0.0
115,0.47333333333333344,1.0191319835032575,0.00025,1.0,0.0
116,0.4906666666666666,0.9917043026231728,0.00025,1.0,0.0
117,0.4920000000000001,1.009267474930969,0.00025,1.0,0.0
118,0.5426666666666669,0.9566928630795235,0.00025,1.0,0.0
119,0.5266666666666668,0.9849088194096918,0.00025,1.0,0.0
120,0.522666666666667,0.9742013209000011,0.000125,1.0,0.0
121,0.5346666666666667,0.9452402774657055,0.000125,1.0,0.0
122,0.5533333333333336,0.9366022438081741,0.000125,1.0,0.0
123,0.5106666666666666,0.975622160659073,0.000125,1.0,0.0
124,0.4893333333333333,0.9649043626759536,0.000125,1.0,0.0
125,0.5213333333333332,0.9429935264898357,0.000125,1.0,0.0
126,0.5400000000000003,0.927568046852042,0.000125,1.0,0.0
127,0.5133333333333332,0.9753562331561525,0.000125,1.0,0.0
128,0.5186666666666669,0.9491939778139065,0.000125,1.0,0.0
129,0.524,0.9726131462024127,0.000125,1.0,0.0
130,0.5640000000000004,0.9095685687173182,0.000125,1.0,0.0
131,0.530666666666667,0.9385822441469807,0.000125,1.0,0.0
132,0.49333333333333335,0.9810983083188798,0.000125,1.0,0.0
133,0.5373333333333332,0.9274470201608278,0.000125,1.0,0.0
134,0.5880000000000003,0.8782015998749365,0.000125,1.0,0.0
135,0.5386666666666668,0.9382816798573682,0.000125,1.0,0.0
136,0.5280000000000001,0.9317098645810837,0.000125,1.0,0.0
137,0.5306666666666667,0.956139586733076,0.000125,1.0,0.0
138,0.5360000000000001,0.9150421297859329,0.000125,1.0,0.0
139,0.5133333333333332,0.9441689408383428,0.000125,1.0,0.0
140,0.5546666666666668,0.9055320725772468,0.000125,1.0,0.0
141,0.5893333333333335,0.8936910141763589,0.000125,1.0,0.0
142,0.5560000000000002,0.8950008576341313,0.000125,1.0,0.0
143,0.5626666666666668,0.889401687922212,0.000125,1.0,0.0
144,0.5733333333333337,0.890947869603933,0.000125,1.0,0.0
145,0.5493333333333333,0.8966229415685406,0.000125,1.0,0.0
146,0.5800000000000002,0.9010112400161367,0.000125,1.0,0.0
147,0.5533333333333333,0.9144988547606289,0.000125,1.0,0.0
148,0.5880000000000001,0.8820518648082494,0.000125,1.0,0.0
149,0.5720000000000003,0.91562553481414,0.000125,1.0,0.0
150,0.5600000000000002,0.9046637549868531,0.000125,1.0,0.0
151,0.5786666666666668,0.859507011561341,0.000125,1.0,0.0
152,0.5773333333333334,0.9055976392501529,0.000125,1.0,0.0
153,0.5506666666666667,0.9258024181955848,0.000125,1.0,0.0
154,0.5746666666666669,0.8834024226963841,0.000125,1.0,0.0
155,0.5413333333333334,0.9385593324283691,0.000125,1.0,0.0
156,0.574666666666667,0.8648210996066749,0.000125,1.0,0.0
157,0.5666666666666668,0.903893692852832,0.000125,1.0,0.0
158,0.5653333333333336,0.8612585079046948,0.000125,1.0,0.0
159,0.5520000000000002,0.8935597126540923,0.000125,1.0,0.0
160,0.5786666666666669,0.8701704510255672,6.25e-05,1.0,0.0
161,0.6160000000000001,0.8469286214107342,6.25e-05,1.0,0.0
162,0.5973333333333334,0.8217248029043087,6.25e-05,1.0,0.0
163,0.6306666666666672,0.8129945367349494,6.25e-05,1.0,0.0
164,0.6066666666666669,0.8148126074538261,6.25e-05,1.0,0.0
165,0.532,0.932417673494068,6.25e-05,1.0,0.0
166,0.5893333333333335,0.8349224180174872,6.25e-05,1.0,0.0
167,0.5840000000000004,0.8405517248883533,6.25e-05,1.0,0.0
168,0.610666666666667,0.8450452343879639,6.25e-05,1.0,0.0
169,0.6346666666666669,0.7922791045540484,6.25e-05,1.0,0.0
170,0.6120000000000002,0.8439865392191238,6.25e-05,1.0,0.0
171,0.6413333333333335,0.777690668293556,6.25e-05,1.0,0.0
172,0.5720000000000002,0.8807803968285246,6.25e-05,1.0,0.0
173,0.5986666666666668,0.8143112642642893,6.25e-05,1.0,0.0
174,0.5933333333333334,0.8574811000886963,6.25e-05,1.0,0.0
175,0.6146666666666668,0.8628578519117478,6.25e-05,1.0,0.0
176,0.6333333333333335,0.7984017198557716,6.25e-05,1.0,0.0
177,0.6360000000000003,0.7877498605891948,6.25e-05,1.0,0.0
178,0.6333333333333335,0.7874266483090971,6.25e-05,1.0,0.0
179,0.606666666666667,0.8449137116912948,6.25e-05,1.0,0.0
180,0.6560000000000002,0.7626314484602607,6.25e-05,1.0,0.0
181,0.6160000000000003,0.7631026827055897,6.25e-05,1.0,0.0
182,0.6760000000000003,0.7580960309088262,6.25e-05,1.0,0.0
183,0.6253333333333336,0.792446400958819,6.25e-05,1.0,0.0
184,0.6426666666666668,0.7918646266486631,6.25e-05,1.0,0.0
185,0.6626666666666671,0.7910679969932778,6.25e-05,1.0,0.0
186,0.6533333333333335,0.7498176979471078,6.25e-05,1.0,0.0
187,0.6120000000000004,0.8140654256590399,6.25e-05,1.0,0.0
188,0.6040000000000003,0.8160522809443621,6.25e-05,1.0,0.0
189,0.6453333333333336,0.7870940098296623,6.25e-05,1.0,0.0
190,0.6413333333333336,0.7911047287498433,6.25e-05,1.0,0.0
