epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.6250666666666668,1.4241766576403392,0.001,0.928,0.19097013714332808
2,0.8111000000000002,0.6517667885327291,0.001,0.972,0.13643261326955733
3,0.8570333333333334,0.48238624398262,0.001,0.958,0.1320580126959775
4,0.8827333333333334,0.38528730996138294,0.001,0.982,0.046046613343716056
5,0.8977,0.33622609454186514,0.001,0.978,0.06339036541632716
